title,location,type,bed,bath,area,price
"A Full Furnished Apartment Is Up For Rent In Uttara , Near 10 Number Sector Central Jame Masjid.","Sector 10, Uttara, Dhaka",Apartment,4,5,"3,000 sqft",65 Thousand
We Have A 1250 Sq. ft Flat For Rent In Satarkul,"Satarkul, Uttar Badda, Badda, Dhaka",Apartment,3,3,"1,250 sqft",18.5 Thousand
"In A Mind-blowing Location Of Uttara Sec- 7, 2600 Sq Ft An Apartment Is Up For Rent","Sector 7, Uttara, Dhaka",Apartment,4,4,"2,600 sqft",75 Thousand
Offering You Beautiful 1000 Sq Ft Apartment To Rent In Uttar Badda,"Satarkul, Uttar Badda, Badda, Dhaka",Apartment,3,3,"1,000 sqft",17 Thousand
Check This 1450 Sq Ft Apartment Up For Rent At Chattogram Very Near To National Hospital Pvt. Ltd.,"15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,450 sqft",25 Thousand
"Properly Constructed Flat For Rent In Mohammadpur, Near Pc Culture Housing Jame Mosjid","PC Culture Housing, Mohammadpur, Dhaka",Apartment,3,2,900 sqft,16 Thousand
1400 Sq Ft Flat Is Up For Rent In Pc Culture Housing,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,4,3,"1,400 sqft",22 Thousand
Near Ibrahimpur Salauddin Shikkhaloy 1100 Sq. Ft Flat For Rent In East Shewrapara.,"East Shewrapara, Mirpur, Dhaka",Apartment,3,2,"1,100 sqft",18 Thousand
"This Comfortable And Elegant Apartment Of 1900 Sq Ft In Uttara, Sector 14 Is Up For Rent","Sector 14, Uttara, Dhaka",Apartment,3,3,"1,900 sqft",45 Thousand
Consider Moving Into This Apartment Of 2300 Sq Ft In Bashundhara R-a For Rent,"Block D, Bashundhara R-A, Dhaka",Apartment,4,4,"2,300 sqft",55 Thousand
"Grab This Nice 2900 Sq Ft rental Home in Gulshan 1, To Fulfill Your Demand","Gulshan 1, Gulshan, Dhaka",Apartment,4,4,"2,900 sqft",1.1 Lakh
"To Lead A Relaxing Life, Take Rent This 1050 Sq Ft Apartment In South Pirerbag","Kamal Sarani, South Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,3,3,"1,050 sqft",18 Thousand
"Reside Conveniently In This Well Constructed 1460 Sq. ft Flat For Rent In Pc Culture Housing, Mohammadpur .","PC Culture Housing, Mohammadpur, Dhaka",Apartment,3,3,"1,460 sqft",20 Thousand
"Located At South Monipur, 600 Sq Ft Residential Flat Is Quite Accessible For Owning","South Monipur, Mirpur, Dhaka",Apartment,2,2,600 sqft,11 Thousand
This 1100 Sq. Ft. Flat Is Up For Rent Near Uttara West Police Station In Uttara.,"Sector 11, Uttara, Dhaka",Apartment,3,2,"1,100 sqft",22.5 Thousand
"Apartment For Rent In Uttara, Near International Hope School Bangladesh","Sector 4, Uttara, Dhaka",Apartment,3,3,"1,550 sqft",35 Thousand
